MFCC_BEGIN

-7.204232,3.606486,-1.510971,-0.650843,-1.819667,-0.738560,-0.942421,-4.569884,-0.500347,3.739037,1.627552,1.154076,0.126946

-7.412865,3.342189,-1.335993,-1.022273,-2.320542,-0.703038,-0.883247,-4.628495,-0.506462,3.831039,1.892969,1.301360,-0.191769

-6.322178,2.875090,-1.114880,-0.564798,-1.664544,-0.641640,-1.311015,-4.464654,-0.181136,3.703538,1.705789,1.189506,0.034466

-7.014557,3.352710,-1.862959,-1.069753,-2.129513,-0.829731,-0.490761,-4.102431,-0.168268,4.215239,2.007473,1.296142,0.121377

-5.862086,2.257481,-1.514860,-1.053124,-1.944769,-0.702251,-1.077216,-4.024124,0.103039,3.956695,2.071758,1.346368,-0.022525

-6.340170,3.617795,-1.504849,-0.638640,-1.815702,-0.733355,-0.945167,-4.576621,-0.494188,3.747188,1.628625,1.154569,0.126397

-6.573451,3.351565,-1.340128,-1.022875,-2.324967,-0.706016,-0.874465,-4.627485,-0.511585,3.832710,1.893830,1.301483,-0.191199

-5.479609,2.860784,-1.120897,-0.575211,-1.668611,-0.643934,-1.309376,-4.457039,-0.184863,3.695813,1.706026,1.190242,0.035138

-6.208721,3.343010,-1.862515,-1.066369,-2.125695,-0.831967,-0.497021,-4.101362,-0.164242,4.214838,2.009380,1.294690,0.119460

-5.099375,2.266576,-1.511619,-1.051304,-1.946175,-0.699920,-1.075170,-4.028269,0.102629,3.960497,2.071922,1.345914,-0.023936

-5.602286,3.627038,-1.501331,-0.630003,-1.812670,-0.729810,-0.946867,-4.582207,-0.489854,3.753171,1.628708,1.154939,0.125924

-5.850732,3.358665,-1.343349,-1.025107,-2.330544,-0.706661,-0.867260,-4.626003,-0.517038,3.832263,1.892415,1.301780,-0.189255

-4.756624,2.850335,-1.125617,-0.582620,-1.671545,-0.645658,-1.308234,-4.451442,-0.186974,3.689963,1.706551,1.190514,0.035714

-5.512137,3.333519,-1.862425,-1.064212,-2.122169,-0.833199,-0.501237,-4.097600,-0.161892,4.216043,2.011796,1.293289,0.117935

-4.436194,2.273381,-1.510267,-1.050105,-1.946825,-0.698366,-1.072735,-4.030269,0.102722,3.963355,2.072067,1.346025,-0.025322

-4.957296,3.633231,-1.498176,-0.623668,-1.810353,-0.727285,-0.948463,-4.586128,-0.486379,3.757387,1.628897,1.155015,0.125271

-5.218217,3.363938,-1.346489,-1.025656,-2.333830,-0.708630,-0.862035,-4.625011,-0.521152,3.832079,1.892524,1.301912,-0.188773

-4.123182,2.842014,-1.129168,-0.588604,-1.673696,-0.647148,-1.307218,-4.447272,-0.188821,3.685258,1.706711,1.191003,0.036205

-4.900085,3.327349,-1.861975,-1.063363,-2.120034,-0.834155,-0.504217,-4.096478,-0.159825,4.215824,2.013174,1.292366,0.117419

-3.848439,2.279162,-1.508822,-1.049814,-1.948054,-0.696535,-1.070622,-4.032133,0.102502,3.964546,2.071798,1.346484,-0.025571

-4.384594,3.638023,-1.495370,-0.618555,-1.809022,-0.724744,-0.949335,-4.589678,-0.483475,3.760631,1.629140,1.155534,0.124239

